assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
128958172,41008,Hippocampus comes,ANIMALIA,CHORDATA,SYNGNATHIFORMES,ACTINOPTERYGII,SYNGNATHIDAE,Hippocampus,comes,,,,"Cantor, 1849",Vulnerable,A2bd+4bd,3.1,Decreasing,Global
130105307,61334,Bahaba taipingensis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCIAENIDAE,Bahaba,taipingensis,,,,"(Herre, 1932)",Critically Endangered,A2bcd,3.1,Decreasing,Global
130482064,2475,Balaenoptera borealis,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Balaenoptera,borealis,,,,"Lesson, 1828",Endangered,A1abd,3.1,Increasing,Global
130934237,183682,Cynoscion othonopterus,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCIAENIDAE,Cynoscion,othonopterus,,,,"Jordan &amp; Gilbert, 1882",Vulnerable,"B2ab(iii,v)",3.1,Decreasing,Global
131075850,154864,Sciaena callaensis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCIAENIDAE,Sciaena,callaensis,,,,"Hildebrand, 1946",Critically Endangered,B1ab(iii),3.1,Unknown,Global
131879000,22697789,Eudyptes sclateri,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Eudyptes,sclateri,,,,"Buller, 1888",Endangered,"A2b; B1ab(ii,v)+2ab(ii,v)",3.1,Decreasing,Global
132965869,195042,Genypterus blacodes,ANIMALIA,CHORDATA,OPHIDIIFORMES,ACTINOPTERYGII,OPHIDIIDAE,Genypterus,blacodes,,,,"(Forster, 1801)",Vulnerable,A2bd,3.1,Decreasing,Global
134193368,161456,Squatina formosa,ANIMALIA,CHORDATA,SQUATINIFORMES,CHONDRICHTHYES,SQUATINIDAE,Squatina,formosa,,,,"Shen &amp; Ting, 1972",Endangered,A2d,3.1,Decreasing,Global
134193576,161325,Squatina nebulosa,ANIMALIA,CHORDATA,SQUATINIFORMES,CHONDRICHTHYES,SQUATINIDAE,Squatina,nebulosa,,,,"Regan, 1906",Endangered,A2d,3.1,Decreasing,Global
134193835,161525,Squatina tergocellatoides,ANIMALIA,CHORDATA,SQUATINIFORMES,CHONDRICHTHYES,SQUATINIDAE,Squatina,tergocellatoides,,,,"Chen, 1963",Endangered,A2d,3.1,Decreasing,Global
134194013,161558,Squatina japonica,ANIMALIA,CHORDATA,SQUATINIFORMES,CHONDRICHTHYES,SQUATINIDAE,Squatina,japonica,,,,"Bleeker, 1858",Critically Endangered,A2d,3.1,Decreasing,Global
135059410,167730,Hemipsilichthys papillatus,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,LORICARIIDAE,Hemipsilichthys,papillatus,,,,"Pereira, Oliveira &amp; Oyakawa, 2000",Near Threatened,B1b(iii),3.1,Stable,Global
137454811,135447977,Dipulus norfolkanus,ANIMALIA,CHORDATA,OPHIDIIFORMES,ACTINOPTERYGII,DINEMATICHTHYIDAE,Dipulus,norfolkanus,,,,"Machida, 1993",Vulnerable,D2,3.1,Unknown,Global
143832449,187944,Tenualosa toli,ANIMALIA,CHORDATA,CLUPEIFORMES,ACTINOPTERYGII,CLUPEIDAE,Tenualosa,toli,,,,"(Valenciennes, 1847)",Vulnerable,"B2ab(iii,v)",3.1,Decreasing,Global
143836046,75154879,Sardinella lemuru,ANIMALIA,CHORDATA,CLUPEIFORMES,ACTINOPTERYGII,CLUPEIDAE,Sardinella,lemuru,,,,"Bleeker, 1853",Near Threatened,A2bd,3.1,Decreasing,Global
143840186,98842673,Tenualosa macrura,ANIMALIA,CHORDATA,CLUPEIFORMES,ACTINOPTERYGII,CLUPEIDAE,Tenualosa,macrura,,,,"(Bleeker, 1852)",Near Threatened,B2ab(iii),3.1,Decreasing,Global
143840543,98894402,Coilia mystus,ANIMALIA,CHORDATA,CLUPEIFORMES,ACTINOPTERYGII,ENGRAULIDAE,Coilia,mystus,,,,"(Linnaeus, 1758)",Endangered,A2bd,3.1,Decreasing,Global
143840780,98895427,Coilia nasus,ANIMALIA,CHORDATA,CLUPEIFORMES,ACTINOPTERYGII,ENGRAULIDAE,Coilia,nasus,,,,"Temminck &amp; Schlegel, 1846",Endangered,A2bd,3.1,Decreasing,Global
144137594,144137478,Carcharhinus cerdale,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,cerdale,,,,"Gilbert, 1898",Critically Endangered,A2bcd,3.1,Decreasing,Global
144151864,144151831,Ginglymostoma unami,ANIMALIA,CHORDATA,ORECTOLOBIFORMES,CHONDRICHTHYES,GINGLYMOSTOMATIDAE,Ginglymostoma,unami,,,,"Del Moral-Flores, Ramíz-Antonio, Angulo &amp; Pérez-Ponce de León, 2015",Endangered,A2cd,3.1,Decreasing,Global
144164959,144163683,Styracura pacifica,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,POTAMOTRYGONIDAE,Styracura,pacifica,,,,"(Beebe &amp; Tee-Van, 1941)",Vulnerable,A2cd,3.1,Decreasing,Global
145084911,141483785,Gobiodon aoyagii,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Gobiodon,aoyagii,,,,"Shibukawa, Suzuki &amp; Aizawa, 2013",Vulnerable,A4c,3.1,Unknown,Global
145357488,18596,Pseudorca crassidens,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,DELPHINIDAE,Pseudorca,crassidens,,,,"(Owen, 1846)",Near Threatened,A2d,3.1,Unknown,Global
148037259,18227054,Reinhardtius hippoglossoides,ANIMALIA,CHORDATA,PLEURONECTIFORMES,ACTINOPTERYGII,PLEURONECTIDAE,Reinhardtius,hippoglossoides,,,,"(Walbaum, 1792)",Near Threatened,A4bcd,3.1,Decreasing,Global
149300955,141482238,Eviota aquila,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Eviota,aquila,,,,"Greenfield &amp; Jewett, 2014",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
149859101,141483531,Eviota pamae,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Eviota,pamae,,,,"Allen, Brooks &amp; Erdmann, 2013",Vulnerable,B1ab(iii)+2ab(iii),3.1,Unknown,Global
150423658,141483602,Eviota raja,ANIMALIA,CHORDATA,GOBIIFORMES,ACTINOPTERYGII,GOBIIDAE,Eviota,raja,,,,"Allen, 2001",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
150898663,14051,Mycteroperca olfax,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,EPINEPHELIDAE,Mycteroperca,olfax,,,,"(Jenyns, 1840)",Endangered,A2bd,3.1,Decreasing,Global
151858712,60181,Rhynchobatus cooki,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,RHINIDAE,Rhynchobatus,cooki,,,,"Last, Kyne &amp; Compagno, 2016",Critically Endangered,A2bd,3.1,Decreasing,Global
152588591,22693414,Calidris acuminata,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Calidris,acuminata,,,,"(Horsfield, 1821)",Vulnerable,A2bce+3bce+4bce,3.1,Decreasing,Global
152684668,22697997,Pterodroma longirostris,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,PROCELLARIIDAE,Pterodroma,longirostris,,,,"(Stejneger, 1893)",Vulnerable,D2,3.1,Decreasing,Global
152719059,22698252,Puffinus huttoni,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,PROCELLARIIDAE,Puffinus,huttoni,,,,"Mathews, 1912",Endangered,B2ab(iii),3.1,Stable,Global
152723568,132467692,Puffinus newelli,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,PROCELLARIIDAE,Puffinus,newelli,,,,"Henshaw, 1900",Critically Endangered,A3bce+4bce,3.1,Decreasing,Global
154440143,22698209,Ardenna grisea,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,PROCELLARIIDAE,Ardenna,grisea,,,,"(Gmelin, 1789)",Near Threatened,A2de+3de+4de,3.1,Decreasing,Global
154801652,195502,Anguilla australis,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,ANGUILLIDAE,Anguilla,australis,,,,"Richardson, 1841",Near Threatened,,3.1,Unknown,Global
154802213,197276,Anguilla dieffenbachii,ANIMALIA,CHORDATA,ANGUILLIFORMES,ACTINOPTERYGII,ANGUILLIDAE,Anguilla,dieffenbachii,,,,"Gray, 1842",Endangered,A2bd,3.1,Unknown,Global
155188651,155187257,Pelecanoides whenuahouensis,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,PROCELLARIIDAE,Pelecanoides,whenuahouensis,,,,"Fischer et al., 2018",Critically Endangered,B2ab(iii),3.1,Increasing,Global
156372027,22698567,Hydrobates hornbyi,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,HYDROBATIDAE,Hydrobates,hornbyi,,,,"(G.R. Gray, 1864)",Near Threatened,B2b(iii),3.1,Decreasing,Global
156377889,22698543,Hydrobates markhami,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,HYDROBATIDAE,Hydrobates,markhami,,,,"(Salvin, 1883)",Near Threatened,"B2ab(iii,v)",3.1,Decreasing,Global
156923585,2477,Balaenoptera musculus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BALAENOPTERIDAE,Balaenoptera,musculus,,,,"(Linnaeus, 1758)",Endangered,A1abd,3.1,Increasing,Global
157658053,22697752,Aptenodytes forsteri,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Aptenodytes,forsteri,,,,"Gray, 1844",Near Threatened,A3c,3.1,Decreasing,Global
158637941,158624882,Clidoderma asperrimum,ANIMALIA,CHORDATA,PLEURONECTIFORMES,ACTINOPTERYGII,PLEURONECTIDAE,Clidoderma,asperrimum,,,,"(Temminck &amp; Schlegel, 1846)",Vulnerable,A2bd,3.1,Decreasing,Global
158637956,158625391,Eopsetta grigorjewi,ANIMALIA,CHORDATA,PLEURONECTIFORMES,ACTINOPTERYGII,PLEURONECTIDAE,Eopsetta,grigorjewi,,,,"(Herzenstein, 1890)",Vulnerable,A2bd,3.1,Decreasing,Global
158638006,158631336,Platichthys bicoloratus,ANIMALIA,CHORDATA,PLEURONECTIFORMES,ACTINOPTERYGII,PLEURONECTIDAE,Platichthys,bicoloratus,,,,"(Basilewsky, 1855)",Vulnerable,A2bcd,3.1,Decreasing,Global
158638126,158637499,Pseudopleuronectes yokohamae,ANIMALIA,CHORDATA,PLEURONECTIFORMES,ACTINOPTERYGII,PLEURONECTIDAE,Pseudopleuronectes,yokohamae,,,,"(Günther, 1877)",Near Threatened,A2bcd,3.1,Decreasing,Global
158638131,158637575,Glyptocephalus kitaharae,ANIMALIA,CHORDATA,PLEURONECTIFORMES,ACTINOPTERYGII,PLEURONECTIDAE,Glyptocephalus,kitaharae,,,,"(Jordan &amp; Starks, 1904)",Near Threatened,A2bd,3.1,Decreasing,Global
158638136,158637880,Verasper moseri,ANIMALIA,CHORDATA,PLEURONECTIFORMES,ACTINOPTERYGII,PLEURONECTIDAE,Verasper,moseri,,,,"Jordan &amp; Gilbert, 1898",Vulnerable,A2bcd,3.1,Decreasing,Global
158883863,158882810,Sebastes caurinus,ANIMALIA,CHORDATA,SCORPAENIFORMES,ACTINOPTERYGII,SEBASTIDAE,Sebastes,caurinus,,,,"Richardson, 1844",Near Threatened,A1bd,3.1,Increasing,Global
159404825,159100452,Champsocephalus esox,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CHANNICHTHYIDAE,Champsocephalus,esox,,,,"(Günther, 1861)",Vulnerable,A2bcde,3.1,Decreasing,Global
160756767,6909,Dugong dugon,ANIMALIA,CHORDATA,SIRENIA,MAMMALIA,DUGONGIDAE,Dugong,dugon,,,,"(Müller, 1776)",Vulnerable,A2bcd+4bcd,3.1,Decreasing,Global
160983555,41755,Physeter macrocephalus,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,PHYSETERIDAE,Physeter,macrocephalus,,,,"Linnaeus, 1758",Vulnerable,A1d,3.1,Unknown,Global
162209852,162209834,Pristiophorus lanae,ANIMALIA,CHORDATA,PRISTIOPHORIFORMES,CHONDRICHTHYES,PRISTIOPHORIDAE,Pristiophorus,lanae,,,,"Ebert &amp; Wilms, 2013",Near Threatened,A2d,3.1,Decreasing,Global
162870102,162207827,Cephaloscyllium fasciatum,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,SCYLIORHINIDAE,Cephaloscyllium,fasciatum,,,,"Chan, 1966",Critically Endangered,A2d,3.1,Decreasing,Global
169229869,169229426,Squalus formosus,ANIMALIA,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,SQUALIDAE,Squalus,formosus,,,,White &amp; Iglésias 2011,Endangered,A2d,3.1,Decreasing,Global
169233911,169233669,Scoliodon macrorhynchos,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Scoliodon,macrorhynchos,,,,"(Bleeker, 1852)",Near Threatened,A2d,3.1,Decreasing,Global
169234849,169234837,Platyrhina hyugaensis,ANIMALIA,CHORDATA,TORPEDINIFORMES,CHONDRICHTHYES,PLATYRHINIDAE,Platyrhina,hyugaensis,,,,"Iwatsuki, Miyamoto &amp; Nakaya, 2011",Vulnerable,A2d,3.1,Decreasing,Global
169234948,169234885,Platyrhina tangi,ANIMALIA,CHORDATA,TORPEDINIFORMES,CHONDRICHTHYES,PLATYRHINIDAE,Platyrhina,tangi,,,,"Iwatsuki, Zhang &amp; Nakaya, 2011",Vulnerable,A2cd,3.1,Decreasing,Global
169237207,169236848,Dipturus chinensis,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,RAJIDAE,Dipturus,chinensis,,,,"(Basilewsky, 1855)",Vulnerable,A2cd,3.1,Decreasing,Global
169766323,169755340,Lamiopsis tephrodes,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Lamiopsis,tephrodes,,,,"(Fowler, 1905)",Endangered,A2d,3.1,Decreasing,Global
169992506,144162654,Urotrygon cimar,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,UROTRYGONIDAE,Urotrygon,cimar,,,,"López S. &amp; Bussing, 1998",Near Threatened,A2d,3.1,Decreasing,Global
170082489,20047,Scomberomorus concolor,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Scomberomorus,concolor,,,,"(Lockington, 1879)",Near Threatened,"B2b(i,ii,v)",3.1,Decreasing,Global
170082633,21858,Thunnus maccoyii,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Thunnus,maccoyii,,,,"(Castelnau, 1872)",Endangered,A1bd,3.1,Increasing,Global
170085723,170318,Rastrelliger brachysoma,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Rastrelliger,brachysoma,,,,"(Bleeker, 1851)",Vulnerable,A2bd,3.1,Decreasing,Global
170086625,170324,Rastrelliger faughni,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Rastrelliger,faughni,,,,"Matsui, 1967",Vulnerable,A2bd,3.1,Decreasing,Global
170087840,170341,Thunnus orientalis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Thunnus,orientalis,,,,"(Temminck &amp; Schlegel, 1844)",Near Threatened,A2bd,3.1,Decreasing,Global
170088828,170346,Scomberomorus sinensis,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Scomberomorus,sinensis,,,,"(Lacepède, 1800)",Near Threatened,A2bd,3.1,Decreasing,Global
170090130,170356,Scomberomorus niphonius,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,SCOMBRIDAE,Scomberomorus,niphonius,,,,"(Cuvier, 1832)",Near Threatened,A2bd,3.1,Decreasing,Global
173433550,39365,Carcharhinus amblyrhynchos,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,amblyrhynchos,,,,"(Bleeker, 1856)",Endangered,A2bcd,3.1,Decreasing,Global
173434051,39366,Carcharhinus amboinensis,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,amboinensis,,,,"(Müller &amp; Henle, 1839)",Vulnerable,A2d,3.1,Decreasing,Global
173434501,41737,Carcharhinus macloti,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,macloti,,,,"(Müller &amp; Henle, 1839)",Near Threatened,A2d,3.1,Decreasing,Global
173434793,161376,Carcharhinus sorrah,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,sorrah,,,,"(Valenciennes in Müller &amp; Henle, 1839)",Near Threatened,A2d,3.1,Decreasing,Global
173435173,41831,Loxodon macrorhinus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Loxodon,macrorhinus,,,,"Müller &amp; Henle, 1839",Near Threatened,A2d,3.1,Decreasing,Global
173435545,41836,Negaprion acutidens,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Negaprion,acutidens,,,,"(Rüppell, 1837)",Endangered,A2bd,3.1,Decreasing,Global
173435874,41851,Rhizoprionodon oligolinx,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Rhizoprionodon,oligolinx,,,,"Springer, 1964",Near Threatened,A2d,3.1,Decreasing,Global
173436715,39384,Triaenodon obesus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Triaenodon,obesus,,,,"(Rüppell, 1837)",Vulnerable,A2bcd,3.1,Decreasing,Global
173437098,41835,Nebrius ferrugineus,ANIMALIA,CHORDATA,ORECTOLOBIFORMES,CHONDRICHTHYES,GINGLYMOSTOMATIDAE,Nebrius,ferrugineus,,,,"(Lesson, 1831)",Vulnerable,A2bcd,3.1,Decreasing,Global
173437577,161695,Chaenogaleus macrostoma,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,HEMIGALEIDAE,Chaenogaleus,macrostoma,,,,"(Bleeker, 1852)",Vulnerable,A2d,3.1,Decreasing,Global
173437966,161506,Paragaleus randalli,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,HEMIGALEIDAE,Paragaleus,randalli,,,,"Compagno, Krupp &amp; Carpenter, 1996",Vulnerable,A2d,3.1,Decreasing,Global
174789028,167006,Takifugu ocellatus,ANIMALIA,CHORDATA,TETRAODONTIFORMES,ACTINOPTERYGII,TETRAODONTIDAE,Takifugu,ocellatus,,,,"(Linnaeus, 1758)",Near Threatened,,3.1,Decreasing,Global
174796143,191823,Megalops atlanticus,ANIMALIA,CHORDATA,ELOPIFORMES,ACTINOPTERYGII,MEGALOPIDAE,Megalops,atlanticus,,,,"Valenciennes, 1847",Vulnerable,A2bd,3.1,Decreasing,Global
175219648,161566,Maculabatis gerrardi,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,DASYATIDAE,Maculabatis,gerrardi,,,,"(Gray, 1851)",Endangered,A2d,3.1,Decreasing,Global
175220678,104208524,Pateobatis bleekeri,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,DASYATIDAE,Pateobatis,bleekeri,,,,"(Blyth, 1860)",Endangered,A2d,3.1,Decreasing,Global
175221157,161547,Pateobatis uarnacoides,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,DASYATIDAE,Pateobatis,uarnacoides,,,,"(Bleeker, 1852)",Endangered,A2d,3.1,Decreasing,Global
