Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
C1A9CAAOH1,Abies amabilis - Picea sitchensis / Oplopanax horridus,amabilis fir - Sitka spruce / devil's club,CWHvm1/08; CWHvm2/08,S3? (2021),Blue,GNR,N/A,N/A,,,Y,
C1A9CAAGD1,Abies amabilis - Thuja plicata / Gymnocarpium dryopteris,amabilis fir - western redcedar / oak fern,CWHms1/04; CWHms2/04; CWHws1/04; CWHws2/04,S3 (2004),Blue,GNR,N/A,N/A,,,,
C1A9CATOH1,Abies amabilis - Thuja plicata / Oplopanax horridus Moist Submaritime,amabilis fir - western redcedar / devil's club Moist Submaritime,CWHms1/06; CWHms2/06; CWHws1/06,S3 (2004),Blue,G3G4,N/A,N/A,,,,
C2A2BAARS1,Abies amabilis - Thuja plicata / Rubus spectabilis Moist Maritime 1,amabilis fir - western redcedar / salmonberry Moist Maritime 1,CWHmm1/07,S2 (2019),Red,G3G4,N/A,N/A,,South Central Coast LUO,,
C2A2BAARS2,Abies amabilis - Thuja plicata / Rubus spectabilis Moist Maritime 2,amabilis fir - western redcedar / salmonberry Moist Maritime 2,CWHmm2/08,S2S3 (2004),Blue,G3G4,N/A,N/A,,,,
C1A9CAARS1,Abies amabilis - Thuja plicata / Rubus spectabilis Very Wet Maritime,amabilis fir - western redcedar / salmonberry Very Wet Maritime,CWHvm1/07; CWHvm2/07,S3 (2019),Blue,GNR,N/A,N/A,,,,
C1A9CAATT2,Abies amabilis - Thuja plicata / Tiarella trifoliata Moist Maritime 1,amabilis fir - western redcedar / three-leaved foamflower Moist Maritime 1,CWHmm1/05,S2 (2019),Red,G2 (2005),N/A,N/A,,South Central Coast LUO,,
C1A9CAATT1,Abies amabilis - Thuja plicata / Tiarella trifoliata Very Wet Maritime,amabilis fir - western redcedar / three-leaved foamflower Very Wet Maritime,CWHmm2/05; CWHvm1/05; CWHvm2/05,S3? (2020),Blue,G3G4,N/A,N/A,,,,
C1A9CAGMN1,Abies grandis / Mahonia nervosa,grand fir / dull Oregon-grape,CDFmm/04,S1 (2009),Red,G1,N/A,N/A,,,Y,
C1A9CAGTT1,Abies grandis / Tiarella trifoliata,grand fir / three-leaved foamflower,CDFmm/06,S1 (2013),Red,G1,N/A,N/A,,,Y,
CEBC000521,Abies lasiocarpa / Alnus spp. / Equisetum spp.,subalpine fir / alders / horsetails,ESSFmv2/06; ESSFmv4/05,S3 (2004),Blue,GNR,N/A,N/A,,,,
CEBC000493,Abies lasiocarpa / Cladina spp. - Cladonia spp.,subalpine fir / reindeer lichens - clad lichens,ESSFmm1/03,S1 (2021),Red,GNR,N/A,N/A,,,,
CEBC000192,Abies lasiocarpa - Pinus albicaulis / Juniperus communis,subalpine fir - whitebark pine / common juniper,ESSFdv/03; ESSFdv1/,S3 (2009),Blue,G3,N/A,N/A,,,,
CEBC000180,Abies lasiocarpa / Rhododendron albiflorum / Valeriana sitchensis,subalpine fir / white-flowered rhododendron / sitka valerian,ESSFdc1/04; ESSFdc2/07,S3 (2004),Blue,GNR,N/A,N/A,,,,
CEBC000193,Abies lasiocarpa / Vaccinium membranaceum / Brachythecium spp.,subalpine fir / black huckleberry / ragged-mosses,ESSFdv/04; ESSFdv1/,S3 (2004),Blue,G3,N/A,N/A,,,,
CEBC000870,Abies lasiocarpa / Vaccinium membranaceum / Xerophyllum tenax,subalpine fir / black huckleberry / bear-grass,ESSFwc1/00; ESSFwc4/00,S3? (2004),Blue,GNR,N/A,N/A,,,,
PDNYC010C0,Abronia latifolia,yellow sand-verbena,CDFmm; CWHvm; CWHxm,S3 (2019),Blue,G5 (2025),,,,,Y,
PDNYC010N2,Abronia umbellata var. breviflora,pink sand-verbena,CWHvh,S1 (2019),Red,G4G5T2 (2014),E,1-E (2005),,,Y,
NBMUS01010,Acaulon muticum,,,S2S3 (2024),Blue,G4G5 (1991),,,,,,
NBMUS01030,Acaulon triquetrum,,,S2S3 (2024),Blue,G2G4 (1999),,,,,,
ABNKC12064,Accipiter atricapillus atricapillus,"American Goshawk, atricapillus subspecies",BWBS; ESSF; ICH; IDF; MS; PP; SBPS; SBS; SWB,S3S4 (2017),Blue,G5T5 (2023),NAR,,,,,
ABNKC12062,Accipiter atricapillus laingi,"American Goshawk, laingi subspecies",CDF; CWH,S2 (2010),Red,G5T2 (2016),T,1-T (2003),Y,,Y,
CEBC000002,Achnatherum richardsonii Herbaceous Vegetation,spreading needlegrass Herbaceous Vegetation,BGxw2/00; IDFdk1a/93; IDFdk4/00; IDFxm/00,S3 (2013),Blue,G3,N/A,N/A,,,,
AFCAA01030,Acipenser medirostris,Green Sturgeon,CDF; CWH,S2S3N (2019),Blue,G2 (2022),SC,1-SC (2006),,,,
AFCAA01051,Acipenser transmontanus pop. 1,White Sturgeon (Upper Kootenay River Population),ICH,S1 (2018),Red,G3T1Q (2006),E,1-E (2003),,,Y,
AFCAA01052,Acipenser transmontanus pop. 2,White Sturgeon (Upper Columbia River Population),ICH,S1 (2018),Red,G3T3Q (2024),E,1-E (2003),,,Y,
AFCAA01054,Acipenser transmontanus pop. 4,White Sturgeon (Lower Fraser River Population),CDF; CWH; IDF,S1S2 (2018),Red,G3T2Q (2002),T,,,,Y,
AFCAA01055,Acipenser transmontanus pop. 5,White Sturgeon (Upper Fraser River Population),ICH; SBS,S2 (2018),Red,G3T1Q (2001),E,1-E (2003),,,Y,
IILEM1T480,Acleris bowmanana,,,S3S5 (2020),Blue,GNR,,,,,,
IILEM1T030,Acleris caliginosana,,,S3S5 (2020),Blue,GNR,,,,,,
IILEM1T230,Acleris okanagana,a tortricid moth,,S1S2 (2020),Red,GNR,,,,,,
PMACO01010,Acorus americanus,American sweet-flag,CWHdm; ICHdw; ICHxw; IDFmw; SBSdk; SBSdw; SBSmh; SBSwk,S3 (2019),Blue,G5 (2024),,,,,Y,
IILEF2K050,Acrocercops astericola,Aster Tentiform Blotchminer,,S3S5 (2020),Blue,GNR,,,,,,
IMGASK8010,Acroloxus coloradensis,Rocky Mountain Capshell,ESSF; SBS,S3S4 (2015),Blue,G3G4 (2014),NAR,,,,,
IILEYAQ560,Acronicta marmorata,Marble Dagger Moth,,S3 (2020),Blue,GNR,,,,,,
NLT0001170,Acroscyphus sphaerophoroides,mountain crab-eye,CWHws,S2 (2019),Red,GNR (2025),SC,1-SC (2019),,,Y,
PDRAN0T012,Actaea elata var. elata,tall bugbane,CWHdm; CWHms; CWHvm; MHmm,S1S2 (2019),Red,G4T4 (2015),E,1-E (2003),Y,,Y,
ARAAD02031,Actinemys marmorata,Northwestern Pond Turtle,CWH,SX (2018),Red,G2 (2024),XT,1-XT (2005),,,,
IILEE0G060,Adela trigrapha,a fairy moth,,S3 (2020),Blue,GNR,,,,,,
PPADI03010,Adiantum capillus-veneris,southern maiden-hair fern,IDFxk,S1 (2019),Red,G5 (2016),E,1-E (2003),,,,
ABNCA04020,Aechmophorus clarkii,Clark's Grebe,,S1B (2022),Red,G5 (2022),,,,,Y,
ABNCA04010,Aechmophorus occidentalis,Western Grebe,BG; BWBS; CDF; CWH; ICH; IDF; MS; PP; SBPS; SBS,"S1S2B,S2N (2023)",Red,G5 (2016),SC,1-SC (2017),,,Y,Y
ABNSB15022,Aegolius acadicus brooksi,"Northern Saw-whet Owl, brooksi subspecies",CMA; CWH; MH,S2S3 (2017),Blue,G5T2T3 (2018),T,1-T (2007),Y,,Y,
ABNUA06010,Aeronautes saxatalis,White-throated Swift,BAFA; BG; CMA; CWH; ESSF; ICH; IDF; IMA; MH; MS; PP; SBPS; SBS,S3S4B (2022),Blue,G5 (2016),,,,,Y,Y
IIODO14040,Aeshna constricta,Lance-tipped Darner,BG; ESSF; ICH; IDF; PP,S3 (2023),Blue,G5 (2016),,,,,,
IILEG15360,Agonopterix argillacea,,,S3 (2020),Blue,GNR,,,,,,
NLLEC04010,Agrestia hispida,desert vagabond,,S1S2 (2010),Red,G3 (1998),,,,,,
IILEPH0055,Agriades glandon rustica,"Arctic Blue, rustica subspecies",BWBS,S2S3 (2023),Blue,G5T5 (2016),,,,,Y,
IILEPG9010,Agriades optilete,Cranberry Blue,BWBS; MH; SBPS; SBS; SWB,S3S4 (2020),Blue,G4G5 (2022),,,,,,
NFSTR01020,Agrocybe dura,,,S2S4 (2021),Blue,G5 (2015),,,,,,
IILEYKL070,Agrotis ruta,,,S2S4 (2020),Blue,GNR,,,,,,
NFNHP00001,Albatrellus avellaneus,,,S3 (2021),Blue,G3 (2022),,,,,,
NFSM000004,Albatrellus ellisii,,,S2S3 (2021),Blue,G4 (2006),,,,,,
NFPOL08020,Albatrellus subrubescens,,,S2S4 (2021),Blue,GNR,,,,,,
NFAGA0G010,Alboleptonia sericella,,,S2S4 (2021),Blue,GNR,,,,,,
NLTEST7840,Alectoria imshaugii,spiny witch's hair,CWHwh,S3? (2019),Blue,G5? (2000),,,,,,
NFRUS09040,Aleurodiscus cerussatus,,,S2S4 (2021),Blue,GNR,,,,,,
NFRUS09080,Aleurodiscus occidentalis,,,S3 (2021),Blue,GNR,,,,,,
NFRUS09090,Aleurodiscus spiniger,,,S2S4 (2021),Blue,GNR,,,,,,
PMLIL02040,Allium amplectens,slimleaf onion,CDFmm; CWHxm,S3 (2019),Blue,G4 (1988),,,,,Y,
NLT0009720,Allocetraria madreporiformis,v-fingers,,S1 (2010),Red,GNR,,,,,,
IMGAS91040,Allogona townsendiana,Oregon Forestsnail,CDF; CWH; MH,S2 (2015),Red,G3G4 (2010),E,1-E (2005),,,Y,Y
CEBC003017,Alnus incana / Cornus sericea / Athyrium filix-femina,mountain alder / red-osier dogwood / lady fern,ESSFmh/Fl02; ESSFwh1/Fl02; ICHdm/Fl02; ICHdw1/Fl02; ICHdw4/Fl02; ICHmc2/Fl02; ICHmk1/Fl02; ICHmk4/Fl02; ICHmw2/Fl02; ICHmw4/Fl02; ICHmw5/Fl02; ICHvc/52; ICHvc/Fl02; ICHwc/52; ICHwc/Fl02; ICHwk1/Fl02; ICHwk4/Fl02; ICHxm1/Fl02; MSdk/Fl02; MSdw/Fl02; SBSdk/Fl02; SBSmk2/Fl02; SBSvk/Fl02; SBSwk1/Fl02,S3 (2004),Blue,G3G4,N/A,N/A,,,,
CEBC003018,Alnus incana / Equisetum arvense,mountain alder / common horsetail,BWBSdk/Fl01; CWHwm/Fl01; ESSFdk1/Fl01; ESSFdk2/Fl01; ESSFmh/Fl01; ESSFwh1/Fl01; ESSFwh2/Fl01; ESSFwh3/Fl01; ESSFwm1/Fl01; ICHdm/Fl01; ICHdw1/Fl01; ICHdw4/Fl01; ICHmk1/Fl01; ICHmk4/Fl01; ICHmw2/Fl01; ICHmw4/Fl01; ICHmw5/Fl01; ICHvc/Fl01; ICHvk1/Fl01; ICHxm1/Fl01; IDFdk5/Fl01; IDFdm1/Fl01; IDFdm2/Fl01; IDFxk/Fl01; IDFxx2/Fl01; MSdk/Fl01; MSdm1/Fl01; MSdw/Fl01; MSxv/Fl01; SBSvk/Fl01,S3 (2004),Blue,G3,N/A,N/A,,,Y,
C1B2CARCO4,Alnus rubra / Carex obnupta [ Populus trichocarpa ],red alder / slough sedge [ black cottonwood ],CDFmm/14,S2 (2022),Red,G1,N/A,N/A,,,Y,Y
C1A9CARLA1,Alnus rubra / Lysichiton americanus,red alder / skunk cabbage,CDFmm/Ws52,S2 (2010),Red,GNR,N/A,N/A,,,Y,
C2B2CARMD1,Alnus rubra / Rubus spectabilis / Equisetum arvense,red alder / salmonberry / common horsetail,CDFmm/09; CDFmm/Fl51; CWHvh1/10; CWHvh1/Fl51; CWHvh2/10; CWHvh2/Fl51; CWHwh1/09; CWHwh1/Fl51,S3 (2009),Blue,GNR,N/A,N/A,,Central and North Coast LUO; Haida Gwaii LUO; South Central Coast LUO,Y,
NFAGA07570,Amanita augusta,,,S2S3 (2021),Blue,GNR,,,,,,
NFFUN1M020,Amanita farinosa,,,S2S3 (2021),Blue,G3 (1998),,,,,,
NFAGA07400,Amanita smithiana,,,S2S4 (2021),Blue,GNR,,,,,,
PPTHE050W0,Amauropelta nevadensis,Nevada marsh fern,CWHxm,S1 (2019),Red,G4 (2011),,,,,Y,
NBMUS05010,Amblyodon dealbatus,,BWBS; SWB,S3? (2024),Blue,G3G5 (1991),,,,,,
AAAAA01142,Ambystoma mavortium,Western Tiger Salamander,BG; ICH; IDF; PP,S2 (2021),Red,G5 (2015),E,1-E (2018),Y,,Y,Y
C3B4AAAAT1,Amelanchier alnifolia / Elymus trachycaulus,saskatoon / slender wheatgrass,ESSFmc; ESSFwv; ICHmc1; ICHmc2; SBSdk/81; SBSmc2,S2 (2004),Red,G2,N/A,N/A,,,Y,
CEBC003138,Amelanchier alnifolia - Shepherdia canadensis - Juniperus communis,saskatoon - soopolallie - common juniper,ESSFdk1/Gb20; ESSFdk2/Gb20; ESSFdkw/Gb20; ESSFwm1/Gb20; ESSFwmw/Gb20; MSdk/Gb20; MSdk1/Gb20,S3? (2021),Blue,GNR,N/A,N/A,,,Y,
PDLYT01050,Ammannia robusta,scarlet ammannia,BGxh,S1 (2022),Red,G5 (2016),E,1-E (2003),,,Y,Y
ABPBXA0020,Ammodramus savannarum,Grasshopper Sparrow,BG; CDF; IDF; PP,S1B (2022),Red,G5 (2016),,,Y,,Y,Y
ABPBXA0070,Ammospiza nelsoni,Nelson's Sparrow,BWBS; CWH,S2B (2018),Red,G5 (2016),NAR,,Y,,Y,
C5C2AAMAF1,Anaphalis margaritacea - Symphyotrichum foliaceum,pearly everlasting - leafy aster,MHmm1/00,S2 (2004),Red,G2,N/A,N/A,,Central and North Coast LUO; South Central Coast LUO,Y,
NLTEST9040,Anaptychia crinalis,electrified millepede,SWBmk,S2? (2019),Red,G5 (2009),,,,,,
NLT0022750,Anaptychia elbursiana,wiskered millepede,,S3 (2018),Blue,G3G4 (2002),,,,,,
NLT0001390,Anaptychia ulotrichoides,amputated millepede,,S3 (2019),Blue,G5? (2002),,,,,,
IILEYHK020,Anarta edwardsii,Edwards' Beach Moth,CDF; CWH,S1 (2020),Red,GNR,E,1-E (2011),,,Y,
NBHEP03010,Anastrepta orcadensis,,,S3 (2023),Blue,G3G5 (1999),,,,,,
NBHEP04040,Anastrophyllum michauxii,,,S2S3 (2021),Blue,G5 (2016),,,,,,
IIODO15020,Anax junius,Common Green Darner,,S3 (2023),Blue,G5 (2016),,,,,,
NBMUS0A100,Andreaea heinemannii,,MH,S3 (2024),Blue,G3G5 (2000),,,,,,
NBMUS0A120,Andreaea mutabilis,,CWH,S2S3 (2024),Blue,G5 (1996),,,,,,
NBMUS0A080,Andreaea schofieldiana,,MH,S2S3 (2024),Blue,G2 (2023),,,,,,
NBMUS0A130,Andreaea sinuosa,,CMA; CWHvm; MHmm; MHwh,S3? (2024),Blue,G2 (2009),,,,,,
NBMUS8E010,Andreaeobryum macrosporum,,SWB,S2S3 (2024),Blue,G2G3 (2009),,,,,,
PDPRI02026,Androsace chamaejasme ssp. lehmanniana,sweet-flowered fairy-candelabra,BAFA; ESSFdk; IMA; MSdk; SWBmk,S2S3 (2019),Blue,G5T5 (2015),,,,,Y,
AAAAD01060,Aneides vagrans,Wandering Salamander,CDF; CWH,S3 (2022),Blue,G4 (2005),SC,1-SC (2018),,,Y,Y
PDRAN04061,Anemone drummondii var. drummondii,alpine anemone,CMA; CWHvh; ESSFxc; IMA; MHmm,S3 (2017),Blue,G4T4 (2016),,,,,Y,
CEBC002001,Anemone occidentalis - Carex nigricans,western pasqueflower - black alpine sedge,ESSFdk2; ESSFdkp; IMA,S2 (2004),Red,G4,N/A,N/A,,,,
PDRAN040K0,Anemone piperi,Piper's anemone,ESSFwc,SH (2019),Red,G4 (2016),,,,,Y,
IMGAS53070,Anguispira kochi,Banded Tigersnail,ICH; IDF; PP,S3 (2015),Blue,G5 (2009),NAR,,,,Y,
PDAST0H0W0,Antennaria flagellaris,stoloniferous pussytoes,IDFxh,S2 (2019),Red,G5 (2014),E,1-E (2005),,,Y,
NFPOL0F010,Antrodia xantha,,,S2S4 (2021),Blue,GNR,,,,,,
AMACC10010,Antrozous pallidus,Pallid Bat,BG; PP,S2 (2022),Red,G4 (2016),T,1-T (2003),,,Y,Y
IILEY2R100,Apantesis complicata,Island Tiger Moth,,S1S2 (2020),Red,G2 (2017),T,,,,Y,
IILEY2R130,Apantesis elongata,Columbia Tiger Moth,,S3? (2020),Blue,G4 (2002),,,,,,
IILEY2R250,Apantesis virgo,Virgin Tiger Moth,,S3 (2020),Blue,G5 (2014),,,,,,
PDORO040S0,Aphyllon ludovicianum,Louisiana broomrape,BGxh; BGxw; IDFdm; IDFxh; IDFxk; PPdh,S2? (2019),Red,GNR,,,,,Y,
PDORO040B0,Aphyllon pinorum,pine broomrape,CDFmm; CWHmm; CWHxm,S1S2 (2019),Red,G4 (2024),E,,,,Y,
AMAFA01010,Aplodontia rufa,Mountain Beaver,CDF; CWH; ESSF; MH; MS,S3 (2024),Blue,G5 (2016),SC,1-SC (2003),,,Y,
IILEPH7010,Apodemia mormo,Mormon Metalmark,BG; ESSF; IDF; PP,S1S2 (2020),Red,G5 (2022),E,1-E (2005),,,Y,Y
IILER8P010,Apomyelois bistriatella,,,S3S5 (2020),Blue,GNR,,,,,,
NBHEP09020,Apotreubia hortoniae,,,S3 (2021),Blue,GNR,,,,,,
CEBC001061,Arbutus menziesii / Arctostaphylos columbiana,arbutus / hairy manzanita,CDFmm/00; CWHxm1/00,S1S2 (2021),Red,G2,N/A,N/A,,,Y,
PDVIS030F2,Arceuthobium tsugense ssp. mertensianae,mountain hemlock dwarf mistletoe,MHmm,S3 (2017),Blue,G5T3T4 (2002),,,,,Y,
IIODO75020,Archilestes californicus,California Spreadwing,,S3? (2023),Blue,G4 (1990),,,,,Y,
ABNUC45010,Archilochus colubris,Ruby-throated Hummingbird,,S1B (2022),Red,G5 (2016),,,,,,
IILEM26140,Archips cerasivorana,Ugly-nest Caterpillar Moth,,S3S4 (2020),Blue,GNR,,,,,,
PDAST2V012,Arctanthemum arcticum ssp. arcticum,arctic daisy,CWHwm,S2 (2019),Red,G5TNR,,,,,Y,
IAOLI10010,Arctiostrotus perrieri,an earthworm,,S3? (2019),Blue,GNR,,,,,,
IAOLI10020,Arctiostrotus vancouverensis,an earthworm,,S2 (2019),Red,GNR,,,,,,
NLT0001660,Arctoparmelia separata,arctic ring,BAFAunp; BWBSdk,S3 (2019),Blue,G5 (2013),,,,,,
NLT0001670,Arctoparmelia subcentrifuga,abrading ring,BAFAunp; BGxh; ICHmw; IDFdw; IDFmw,S3 (2019),Blue,G4G5 (2002),,,,,,
PMPOA0J010,Arctophila fulva,pendantgrass,BAFA; BWBSdk; CMA; SWBun; SWBuns,S3 (2019),Blue,G5 (2016),,,,,Y,
PMPOA4Z0S0,Arctopoa eminens,eminent bluegrass,CWHvm,S3 (2022),Blue,G5 (2016),,,,,Y,
ZMYXO010B0,Arcyria oerstedii,a slime mold,,S2S4 (2023),Blue,GNR,,,,,,
ABNGA04011,Ardea herodias fannini,"Great Blue Heron, fannini subspecies",CDF; CWH,"S3B,S4N (2022)",Blue,G5T4 (2016),SC,1-SC (2010),Y,,Y,
ABNGA04012,Ardea herodias herodias,"Great Blue Heron, herodias subspecies",BG; ICH; IDF; MS; PP; SBS,S3? (2017),Blue,G5T5 (2016),,,Y,,Y,
ABNDB07050,Ardenna bulleri,Buller's Shearwater,,S3?N (2015),Blue,G3 (2016),,,,,,
ABNDB07020,Ardenna carneipes,Flesh-footed Shearwater,,S3N (2015),Blue,G4 (2016),,,,,,
ABNDB07010,Ardenna creatopus,Pink-footed Shearwater,,S3N (2015),Blue,G3 (2016),E,1-E (2005),,,,
IIODO68150,Argia emma,Emma's Dancer,CWH; IDF,S3S4 (2023),Blue,G5 (1990),,,,,Y,
IIODO68290,Argia vivida,Vivid Dancer,BG; CWH; ICH; IDF; PP,S3 (2023),Blue,G5 (2015),SC,1-SC (2019),,,Y,Y
IILEJ0L350,Argyresthia oreasella,Cherry Shoot Borer Moth,,S3S5 (2020),Blue,GNR,,,,,,
IILEJ0L510,Argyresthia tsuga,a shiny head-standing moth,,S3S4 (2020),Blue,GNR,,,,,,
IILEM23130,Argyrotaenia provana,a tortricid moth,,S3? (2020),Blue,GNR,,,,,,
CEBC003141,Aristida purpurea - Hesperostipa comata - Erigeron filifolius,red three-awn - needle-and-thread grass - thread-leaved daisy,IDFxh4/Gg26; PPxh1/Gg26; PPxh3/Gg26,S1S2 (2019),Red,GNR,N/A,N/A,,,,
IILEG4K360,Aristotelia roseosuffusella,,,S3S4 (2020),Blue,GNR,,,,,,
NFAGA0F010,Armillaria nabsnona,,,S2S4 (2021),Blue,GNR,,,,,,
NFAGA0F060,Armillaria solidipes,,,S2S4 (2021),Blue,GNR,,,,,,
NBHEP0A010,Arnellia fennica,,,S1S3 (2021),Red,G5 (1991),,,,,,
PDAST0Q0E0,Arnica longifolia,seep-spring arnica,ESSFxcp; ICHvk; IMAun,S3 (2019),Blue,G5 (1988),,,,,Y,
PDAST0Q0F0,Arnica louiseana,Lake Louise arnica,IMA,S3 (2019),Blue,G3 (2021),,,,,Y,
NFTRI01010,Arrhenia acerosa,,,S2S4 (2021),Blue,GNR,,,,,,
NFFUNAREP1,Arrhenia epichysium,,,S2S3 (2021),Blue,GNR,,,,,,
NFPOL3S050,Arrhenia fusconigra,,,S2S4 (2021),Blue,GNR,,,,,,
NFNHP00012,Arrhenia lobata,,,S2S3 (2021),Blue,G5 (2013),,,,,,
NFFUNAROB1,Arrhenia obscurata,,,S2S3 (2021),Blue,GNR,,,,,,
NFAGA0F070,Arrhenia retiruga,,,S3 (2021),Blue,GNR,,,,,,
NFAGA74060,Arrhenia velutipes,,,S3 (2021),Blue,GNR,,,,,,
PDAST0S030,Artemisia alaskana,Alaskan sagebrush,BWBSdk; SWBun,S2S3 (2019),Blue,G4G5 (2022),,,,,Y,
CEBC003071,Artemisia campestris - Festuca rubra / Racomitrium canescens,northern wormwood - red fescue / grey rock-moss,CDFmm,S1 (2008),Red,G1,N/A,N/A,,,Y,
CEBC000879,Artemisia campestris - Hesperostipa curtiseta,northern wormwood / short-awned porcupinegrass,BGxw2; IDFxm/00,S3 (2018),Blue,G2,N/A,N/A,,,Y,
PDAST0S0M0,Artemisia furcata,three-forked mugwort,BAFA; CWHvh,S2S3 (2019),Blue,G4 (1991),,,,,Y,
C3A2BATAS1,Artemisia tridentata / Pseudoroegneria spicata,big sagebrush / bluebunch wheatgrass,BGxh1/01; BGxh2/01; BGxh3/01; BGxw1/04; BGxw2/00; PPxh1/00; PPxh2/05,S2? (2022),Red,G2,N/A,N/A,,,Y,Y
C3A2BATBS1,Artemisia tridentata / Pseudoroegneria spicata - Balsamorhiza sagittata,big sagebrush / bluebunch wheatgrass - arrowleaf balsamroot,IDFxh1a/92; IDFxh1a/94; PPxh1/03,S2 (2004),Red,G2,N/A,N/A,,,Y,
CEBC003121,Artemisia tridentata / Pseudoroegneria spicata - Sporobolus cryptandrus,big sagebrush / bluebunch wheatgrass - sand dropseed,BGxh3/Gs02,S3 (2015),Blue,GNR,N/A,N/A,,,,
C5B2BATCR1,Artemisia tridentata ssp. vaseyana / Calamagrostis rubescens,mountain sagebrush / pinegrass,ESSFxc/04; ESSFxc3/; MSxk/04; MSxk2/; MSxk3/,S2 (2018),Red,GNR,N/A,N/A,Y,,Y,Y
C3A2BATBS3,Artemisia tripartita / Pseudoroegneria spicata - Balsamorhiza sagittata,threetip sagebrush / bluebunch wheatgrass - arrowleaf balsamroot,PPxh1/00,S1 (2004),Red,G1,N/A,N/A,,,,
NLT0002080,Arthonia glebosa,,,S2S3 (2020),Blue,GNR,,,,,,
NLTEST8140,Asahinea scholanderi,silver hankie,BAFAunp,S2S3 (2019),Blue,G5 (2017),,,,,,
IILEG2Y010,Asaphocrita aphidiella,,,S3S5 (2020),Blue,GNR,,,,,,
AAABA01020,Ascaphus montanus,Rocky Mountain Tailed Frog,ESSF; ICH; MS,S2S3 (2021),Blue,G4 (2016),T,1-T (2018),Y,,Y,
ABNSB13040,Asio flammeus,Short-eared Owl,BG; BWBS; CDF; CWH; ICH; IDF; MS; PP; SBPS; SBS; SWB,"S3B,S1N (2022)",Blue,G5 (2016),T,1-SC (2012),Y,,Y,
PPASP02230,Asplenium adulterinum,corrupt spleenwort,CMA; CWHvm; CWHwh; MHmm,S3 (2019),Blue,G3? (2011),,,,,Y,
NFAGA0A010,Asterophora lycoperdoides,,,S3 (2021),Blue,GNR,,,,,,
PDFAB0F2G8,Astragalus crassicarpus var. paysonii,ground plum milk-vetch,MSdk,S1 (2019),Red,G5TNR,,,,,Y,
PDFAB0F320,Astragalus drummondii,Drummond's milk-vetch,MSdk,S1 (2019),Red,G5 (2016),,,,,Y,
PDFAB0F5A0,Astragalus microcystis,least bladdery milk-vetch,ICHdw,S2S3 (2019),Blue,G4 (2023),,,,,Y,
PDFAB0F5G6,Astragalus missouriensis var. missouriensis,Missouri milk-vetch,MSdw,S1S3 (2020),Red,G5T5 (2002),,,,,Y,
PDFAB0F7X0,Astragalus sclerocarpus,The Dalles milk-vetch,BGxh,S2 (2019),Red,G5 (2016),,,,,Y,Y
PDFAB0F8D0,Astragalus spaldingii,Spalding's milk-vetch,BGxh,S1 (2019),Red,G3G4 (2003),,,,,Y,
NFATH02030,Athelia decipiens,,,S2S4 (2021),Blue,GNR,,,,,,
ABNSB10010,Athene cunicularia,Burrowing Owl,BG; CDF; IDF; PP,S1B (2020),Red,G4 (2024),E,1-E (2003),Y,,Y,
NFAGA27030,Atheniella flavoalba,,,S3 (2021),Blue,GNR,,,,,,
NBMUS0M040,Atrichum flavisetum,,,S3 (2024),Blue,GU (2000),,,,,,
NBMUS0M070,Atrichum tenellum,,BAFA; ESSF,S3? (2024),Blue,G4G5 (1991),,,,,,
PDCHE040M0,Atriplex gardneri var. gardneri,Gardner's sagebrush,BWBSmw,S2 (2019),Red,G5 (2016),,,,,Y,
NBMUS0N010,Aulacomnium acuminatum,,BWBS; ESSF; SWB,S2S3 (2024),Blue,G4G5 (2012),,,,,,
IILEY8R140,Autographa speciosa,,,S3S4 (2020),Blue,GU (2003),,,,,,
PPAZO01030,Azolla mexicana,Mexican mosquito fern,ICHmw; IDFmw; IDFxh,S3 (2019),Blue,G5 (2011),T,1-T (2003),,,Y,
ZMYXO08050,Badhamia foliicola,a slime mold,,S2S4 (2023),Blue,GNR,,,,,,
NFMAR01010,Baeospora myriadophylla,,,S2S4 (2021),Blue,GNR,,,,,,
AMAGH01020,Balaenoptera borealis,Sei Whale,,S1N (2021),Red,G5? (2022),E,1-E (2005),,,,
AMAGH01040,Balaenoptera musculus,Blue Whale,,S1N (2021),Red,G3G4 (2016),E,1-E (2005),,,Y,
AMAGH01010,Balaenoptera physalus,Fin Whale,,S3N (2021),Blue,G3G4 (2016),SC,1-T (2006),,,,
PDAST11020,Balsamorhiza deltoidea,deltoid balsamroot,CDFmm; CWHxm,S2 (2019),Red,G5 (2025),E,1-E (2003),,,Y,Y
NBMUS0R060,Bartramia aprica,rigid apple moss,CDF; CWH,S2 (2024),Red,GU (2006),T,1-E (2003),,,Y,
NBMUS0R020,Bartramia halleriana,Haller's apple moss,ICHdw; ICHmm; ICHwk; SBSdh; SBSvk,S2S3 (2024),Blue,G4G5 (2025),T,1-T (2003),,,,
ABNNF06010,Bartramia longicauda,Upland Sandpiper,BG; BWBS; CDF; CWH; ICH; IDF; SBPS; SBS; SWB,S2B (2022),Red,G5 (2016),,,,,Y,
NFAGA37010,Battarrea phalloides,,,S3 (2021),Blue,GNR,,,,,,
